p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
PSRC1,0,1.09092734657099,0.529,0.3,0,L2,PSRC1
LOC102724900,0,1.08288912215832,0.276,0.084,0,L2,LOC102724900
SAMD4A,0,1.03116637426785,0.412,0.694,0,L2,SAMD4A
CNGB1,0,1.02063996637297,0.18,0.017,0,L2,CNGB1
GRM2,0,1.01237241384656,0.424,0.213,0,L2,GRM2
GPR26,0,0.99823999591992,0.339,0.099,0,L2,GPR26
LINC00643,0,0.926516566289575,0.411,0.173,0,L2,LINC00643
LOC102724834,0,0.914437397398955,0.407,0.163,0,L2,LOC102724834
NEUROD1,0,0.896492282839304,0.256,0.045,0,L2,NEUROD1
RFX2,0,0.879292907453535,0.244,0.069,0,L2,RFX2
TEK,0,0.877996949428345,0.21,0.055,0,L2,TEK
KCNN3,0,0.870463426065999,0.534,0.281,0,L2,KCNN3
LOC105377864,0,0.847355988351644,0.326,0.092,0,L2,LOC105377864
CEBPD,0,0.818527174849097,0.358,0.176,0,L2,CEBPD
CTXN3,0,0.753029985839854,0.335,0.154,0,L2,CTXN3
CHRDL1,0,0.738346010503243,0.2,0.021,0,L2,CHRDL1
ZNF469,0,0.725818256135596,0.354,0.158,0,L2,ZNF469
ADAMTS9-AS1,0,0.724399600384257,0.115,0.008,0,L2,ADAMTS9-AS1
KCNH4,0,0.713661315458986,0.258,0.079,0,L2,KCNH4
PLXND1,0,0.674341543649171,0.319,0.134,0,L2,PLXND1
LOC105374537,0,0.650338549570856,0.29,0.108,0,L2,LOC105374537
NDRG1,0,0.640569620200614,0.3,0.102,0,L2,NDRG1
SOWAHA,0,0.639661745994869,0.222,0.067,0,L2,SOWAHA
CRLF1,0,0.629893586119886,0.341,0.135,0,L2,CRLF1
ADAMTS9-AS2,0,0.611688842453731,0.637,0.273,0,L2,ADAMTS9-AS2
RBP4,0,0.595860713352653,0.24,0.078,0,L2,RBP4
LOC105374860,0,0.58701644273517,0.214,0.055,0,L2,LOC105374860
TNFRSF14,0,0.58088355702518,0.315,0.139,0,L2,TNFRSF14
LOC105374559,0,0.578974857103923,0.165,0.034,0,L2,LOC105374559
CA4,0,0.569887315258552,0.188,0.046,0,L2,CA4
EMID1,0,0.561696750702374,0.248,0.079,0,L2,EMID1
MN1,0,0.520957006518633,0.277,0.109,0,L2,MN1
RASAL1,0,0.513361480449777,0.4,0.195,0,L2,RASAL1
LOC105374235,0,0.513105101438526,0.216,0.058,0,L2,LOC105374235
CYP1B1,0,0.512386907777041,0.169,0.028,0,L2,CYP1B1
KCNMB2-AS1,0,0.510240584425485,0.824,0.575,0,L2,KCNMB2-AS1
FFAR4,0,0.508460586137809,0.173,0.028,0,L2,FFAR4
