,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
HN1L.1,1.81140025298537e-34,-0.270320576568914,0.13,0.194,6.01149401958253e-30,L3,HN1L
ZNF431.2,1.87079802521882e-34,0.305948038079044,0.339,0.266,6.20861740629371e-30,L3,ZNF431
CEP192.2,1.95224390469659e-34,-2.56092513648873,0.894,0.869,6.47891184651658e-30,L3,CEP192
C10orf107.2,1.98812564913059e-34,-2.16858165074837,0.245,0.32,6.5979925917697e-30,L3,C10orf107
SAMD5.2,2.0655986174386e-34,-24.2205422975722,0.081,0.133,6.85510213169347e-30,L3,SAMD5
DBN1.1,2.08031977393176e-34,-0.396482348246738,0.32,0.397,6.90395723374735e-30,L3,DBN1
SCLT1.2,2.10213422636553e-34,-10.9166878863419,0.905,0.854,6.97635285703929e-30,L3,SCLT1
HECW1.2,2.37277432902466e-34,-52.7934406544334,0.997,0.993,7.87452616573415e-30,L3,HECW1
DLG3.1,2.46072724391584e-34,-0.542876205335177,0.429,0.506,8.16641550438349e-30,L3,DLG3
SPAG9.2,2.56065384100188e-34,-19.3580264538608,0.917,0.896,8.49804190213295e-30,L3,SPAG9
ZNF706.1,2.80457432090965e-34,-0.859354804815124,0.546,0.614,9.30754079880286e-30,L3,ZNF706
PLK2.2,2.94189053960776e-34,-3.90737222734369,0.64,0.698,9.76325213379629e-30,L3,PLK2
POLR3G.2,2.96535546448135e-34,-26.0913296308121,0.509,0.441,9.84112517997425e-30,L3,POLR3G
IRS1.2,3.7966954488392e-34,0.556979584973019,0.409,0.334,1.26000931860627e-29,L3,IRS1
STRADA.2,3.82888930433859e-34,0.750002839040375,0.746,0.701,1.27069349343085e-29,L3,STRADA
PCNX.2,4.18035614599647e-34,-8.57265757739228,0.952,0.962,1.38733479417185e-29,L3,PCNX
ABCA11P.2,4.43193810397596e-34,-0.823613114194695,0.545,0.618,1.4708272985665e-29,L3,ABCA11P
LOC101930053.2,4.65369189550163e-34,-1.35776156688619,0.448,0.552,1.54442072936013e-29,L3,LOC101930053
PAPSS2.2,4.80358778292653e-34,-17.1586908307397,0.103,0.161,1.59416667751983e-29,L3,PAPSS2
SMG1.2,4.9282452471113e-34,-2.76791752297222,0.854,0.883,1.63553675015883e-29,L3,SMG1
GYPE.1,5.00959144795827e-34,-0.677986446865638,0.101,0.159,1.66253311383391e-29,L3,GYPE
CPNE9.2,5.09822202331234e-34,-1.40395866427495,0.485,0.392,1.69194694287667e-29,L3,CPNE9
