,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
TPCN1.1,1.84711738660782e-08,2.23970636216045,0.42,0.356,0.000613002847093539,L5,TPCN1
STARD3NL,1.86399218898385e-08,0.62109253331825,0.384,0.311,0.000618603087758069,L5,STARD3NL
TMEM130,1.87382852162105e-08,2.16206720146152,0.629,0.561,0.000621867471470379,L5,TMEM130
UBXN4,1.88852013429195e-08,2.75692966758496,0.757,0.712,0.00062674317696747,L5,UBXN4
RASA2.1,1.89590647996842e-08,-2.46778539910277,0.845,0.797,0.00062919448350712,L5,RASA2
RNF115,1.89997985366424e-08,8.00531437021935,0.715,0.687,0.000630546314035551,L5,RNF115
APBA2.1,1.91336907433689e-08,1.58589415830582,0.835,0.804,0.000634989794700183,L5,APBA2
LRP2BP,1.91994168287067e-08,-0.682642004098081,0.377,0.463,0.000637171046294291,L5,LRP2BP
BRSK1,1.92773129195549e-08,0.828826917233018,0.437,0.371,0.000639756183861268,L5,BRSK1
TSC22D1,1.95478664193834e-08,14.3621383418327,0.958,0.939,0.000648735042860076,L5,TSC22D1
CARS,2.08156848609865e-08,1.23039447293212,0.46,0.388,0.000690810133481559,L5,CARS
TTC7A.1,2.08484483993228e-08,-0.391949881557592,0.227,0.303,0.000691897457028327,L5,TTC7A
ANKRD32.1,2.09491429578477e-08,-0.769521488844059,0.667,0.596,0.000695239207342092,L5,ANKRD32
JUND,2.12910290222149e-08,2.40498318326859,0.51,0.444,0.000706585380160247,L5,JUND
NEK1,2.16134391927368e-08,11.1691487540216,0.898,0.868,0.000717285206489357,L5,NEK1
AP2M1,2.21497933136051e-08,6.5199947424363,0.675,0.63,0.000735085190698611,L5,AP2M1
KATNAL1.1,2.23749017531522e-08,2.01530405731504,0.483,0.41,0.000742555864481862,L5,KATNAL1
ACTR1B,2.2611639523684e-08,0.608449202174002,0.439,0.355,0.0007504124808725,L5,ACTR1B
CLMN,2.31005734775064e-08,1.19444443534305,0.253,0.183,0.000766638731998004,L5,CLMN
VPS33B,2.37488855065709e-08,0.454563670487086,0.242,0.177,0.000788154263306569,L5,VPS33B
SRPK2.1,2.4137387747777e-08,11.7030693021769,0.959,0.957,0.000801047487185475,L5,SRPK2
IQCB1.1,2.41575334857896e-08,7.60202685472564,0.681,0.621,0.0008017160637929,L5,IQCB1
DPYD.1,2.46942786827305e-08,-18.6913099750102,0.197,0.266,0.000819529026643779,L5,DPYD
RAD54B,2.58101228907143e-08,1.02081477841541,0.303,0.235,0.000856560548374137,L5,RAD54B
LOC100130256,2.59243244418738e-08,0.419701137080565,0.146,0.093,0.000860350555252466,L5,LOC100130256
DENND4C,2.59359454614008e-08,6.08038326394949,0.746,0.71,0.000860736222027508,L5,DENND4C
ZCCHC2,2.59576611885731e-08,-1.91600918871303,0.48,0.409,0.000861456901865174,L5,ZCCHC2
FAM188A,2.60400828328918e-08,2.11348318171377,0.664,0.604,0.00086419222897518,L5,FAM188A
FREM1,2.60746602226859e-08,-59.1005609953202,0.594,0.432,0.000865339748810276,L5,FREM1
C5orf28,2.61158837400633e-08,1.66068582679004,0.503,0.428,0.00086670783368148,L5,C5orf28
ATG7,2.62352141608234e-08,12.4806935030206,0.897,0.857,0.000870668052355245,L5,ATG7
AKAP6.1,2.64779371222916e-08,-71.412396099729,0.994,0.99,0.000878723299277492,L5,AKAP6
SCML2.1,2.65609871876157e-08,-0.517188537947121,0.168,0.238,0.000881479481795402,L5,SCML2
ARL6IP1,2.73060705974362e-08,4.72034783505468,0.713,0.757,0.000906206564917114,L5,ARL6IP1
PKD1P1,2.80636573841023e-08,1.46403539563869,0.353,0.287,0.000931348597606203,L5,PKD1P1
LDB2,2.86389799872899e-08,51.8701982076293,0.46,0.501,0.00095044182883819,L5,LDB2
LOC105373866,2.87994895203631e-08,0.601226715109608,0.29,0.224,0.000955768658712291,L5,LOC105373866
MRPS11,2.880097265526e-08,0.471555535367346,0.3,0.234,0.000955817879510113,L5,MRPS11
HERC2P3,2.96821049037845e-08,-18.3814596608496,0.239,0.173,0.000985060015441897,L5,HERC2P3
KIAA0319.1,2.98225461464187e-08,-2.37273981850315,0.587,0.652,0.000989720838961198,L5,KIAA0319
ARRDC3.1,3.01312772516614e-08,-0.340752753640356,0.188,0.261,0.000999966698150886,L5,ARRDC3
CPT1A,3.02635803217429e-08,1.56844585090115,0.158,0.103,0.00100435744013768,L5,CPT1A
ACTR2,3.04450306620472e-08,6.09706899820413,0.784,0.764,0.00101037923258136,L5,ACTR2
FBXO2,3.07463855690085e-08,0.381677616087094,0.329,0.255,0.00102038029787869,L5,FBXO2
STK39,3.1729864207316e-08,15.5191111267626,0.819,0.839,0.0010530190034482,L5,STK39
CSPP1.1,3.17440124978679e-08,3.95160016595855,0.841,0.832,0.00105348854276674,L5,CSPP1
PSMA1.1,3.18459383220057e-08,0.54580234954715,0.692,0.633,0.0010568711550924,L5,PSMA1
LOC105374650.1,3.19638996625076e-08,0.575789824991315,0.311,0.242,0.00106078593809964,L5,LOC105374650
CACHD1.1,3.29741485643953e-08,-3.0716294125023,0.073,0.125,0.00109431306840659,L5,CACHD1
NCK1,3.47087105171833e-08,0.834501813468623,0.528,0.459,0.00115187797593376,L5,NCK1
SRI.1,3.47415003165908e-08,0.32266725213396,0.361,0.285,0.0011529661710067,L5,SRI
LOC100506990,3.48131157589491e-08,13.6517784804892,0.959,0.956,0.00115534287269224,L5,LOC100506990
OMG,3.50767118432251e-08,0.257886384492165,0.327,0.254,0.00116409083594111,L5,OMG
ASNS,3.55227424560087e-08,2.5451813976044,0.614,0.555,0.00117889325388756,L5,ASNS
SIRT5,3.60239800126229e-08,1.21882035916068,0.533,0.462,0.00119552782467892,L5,SIRT5
LOC101927268,3.61192378965898e-08,1.34410354384544,0.262,0.194,0.00119868914807413,L5,LOC101927268
ATP6V0E2.1,3.62098999168845e-08,12.6796186871542,0.565,0.646,0.00120169794854165,L5,ATP6V0E2
TMEM182.1,3.62899061649816e-08,-0.313723504153839,0.135,0.201,0.00120435311589724,L5,TMEM182
SRD5A3,3.68535834868214e-08,-0.391898857963164,0.171,0.24,0.00122305987517714,L5,SRD5A3
FNDC5,3.80286782380715e-08,0.491318908764061,0.315,0.247,0.00126205774468688,L5,FNDC5
SNTB2,3.82071048839309e-08,0.975670022201284,0.654,0.593,0.00126797918978301,L5,SNTB2
METAP1D.1,3.86842399117351e-08,-0.653778327007565,0.368,0.438,0.00128381386995075,L5,METAP1D
CEMIP.1,3.87510641828063e-08,-26.0454543427416,0.282,0.363,0.00128603156703479,L5,CEMIP
C16orf87,3.88107681229395e-08,-0.397470617672257,0.166,0.237,0.00128801296169599,L5,C16orf87
KDM5A,3.95236762183824e-08,4.83410893358123,0.659,0.612,0.00131167224265946,L5,KDM5A
ZMIZ1-AS1,4.06274806504095e-08,0.453059308529477,0.177,0.118,0.00134830420034514,L5,ZMIZ1-AS1
LOC105377134.1,4.11708421549869e-08,0.708284171056068,0.433,0.353,0.00136633673859755,L5,LOC105377134
BIN1,4.17567625667955e-08,4.33590709638222,0.571,0.516,0.00138578167930424,L5,BIN1
PC.1,4.27383984073329e-08,1.5351489799889,0.328,0.264,0.00141835922794416,L5,PC
PRMT3.1,4.3845338037657e-08,6.2083943999124,0.672,0.627,0.00145509523345572,L5,PRMT3
ACMSD,4.38502943763702e-08,0.259524957694566,0.166,0.109,0.0014552597194686,L5,ACMSD
THOC7,4.41998410008729e-08,0.414543629337352,0.428,0.348,0.00146686012329597,L5,THOC7
FKBP9,4.54395838917197e-08,0.329981191943812,0.239,0.172,0.0015080034706145,L5,FKBP9
ZNF133,4.57577908727519e-08,1.49128975900927,0.576,0.505,0.00151856380569402,L5,ZNF133
SLC17A5,4.59223633865357e-08,3.11888789908492,0.566,0.521,0.00152402547370896,L5,SLC17A5
LOC105374455,4.76949984155527e-08,-0.678488878875394,0.063,0.114,0.00158285391241695,L5,LOC105374455
GNAO1.1,4.90765594569192e-08,-1.06918311721813,0.871,0.811,0.00162870377869678,L5,GNAO1
IQGAP1,5.03247892645126e-08,-0.731642611906643,0.204,0.275,0.00167012878132138,L5,IQGAP1
FAM168B,5.10791634458381e-08,2.87774623857372,0.619,0.569,0.00169516419727703,L5,FAM168B
SIK3,5.12795216925196e-08,31.9526792689184,0.98,0.971,0.00170181348640965,L5,SIK3
SLC25A29,5.21272005171238e-08,-0.282248778267079,0.26,0.337,0.00172994540356179,L5,SLC25A29
SLC41A2,5.21315815827858e-08,-1.42473425243749,0.736,0.779,0.00173009079798791,L5,SLC41A2
MTA3.1,5.25180285651279e-08,3.79233205682313,0.733,0.701,0.0017429158139909,L5,MTA3
CDC42BPA,5.30524703977662e-08,12.7088766579207,0.994,0.98,0.00176065233509067,L5,CDC42BPA
ITGA9-AS1.1,5.31330180413554e-08,-1.32700712295079,0.493,0.582,0.00176332546973846,L5,ITGA9-AS1
RNPEP,5.41373735489451e-08,0.798816277249676,0.228,0.164,0.00179665701596884,L5,RNPEP
PDE4DIP.1,5.47105923648583e-08,5.92473659860094,0.714,0.684,0.00181568042881255,L5,PDE4DIP
SPG20,5.48110477652713e-08,2.40597646979445,0.764,0.743,0.00181901424218606,L5,SPG20
OGDHL,5.48371893360414e-08,0.861115403496174,0.361,0.288,0.00181988180249521,L5,OGDHL
SUDS3,5.57814599402744e-08,0.7455741551015,0.451,0.384,0.00185121931103789,L5,SUDS3
LOC101926886,5.83704640086356e-08,0.5095824130427,0.191,0.132,0.00193714058905459,L5,LOC101926886
ZDHHC15,6.00729963134793e-08,0.5483608086782,0.301,0.23,0.00199364252865544,L5,ZDHHC15
LOC102467213.1,6.04032045971889e-08,-0.874776345158041,0.149,0.097,0.00200460115096691,L5,LOC102467213
PRRC2C,6.04122558499559e-08,0.281919836842789,0.84,0.81,0.00200490153489249,L5,PRRC2C
ZFYVE19,6.06372472306047e-08,0.405205348752449,0.233,0.171,0.00201236832384208,L5,ZFYVE19
CAPN7,6.17624982545859e-08,0.376838218671151,0.71,0.656,0.00204971202957494,L5,CAPN7
METTL25,6.23713864920406e-08,0.959296824673508,0.613,0.534,0.00206991920351135,L5,METTL25
KLHL42.1,6.50489452303815e-08,1.33658396441427,0.65,0.719,0.00215877934536067,L5,KLHL42
ANKRD17,6.73800640633988e-08,14.4837727029615,0.971,0.959,0.00223614218607202,L5,ANKRD17
TTC19,6.87056807421539e-08,7.81385572387895,0.785,0.79,0.00228013542678986,L5,TTC19
MICU3,7.03510518048163e-08,3.79438925491105,0.899,0.876,0.00233474035624644,L5,MICU3
MFSD9.1,7.06329742162123e-08,-0.253758838234316,0.156,0.222,0.00234409651531344,L5,MFSD9
PARG,7.14164645392708e-08,2.41502463342916,0.524,0.464,0.00237009820866478,L5,PARG
EMC2,7.1780448484703e-08,1.63748452715984,0.503,0.448,0.00238217774386184,L5,EMC2
JADE1,7.22808989794517e-08,0.497384242530488,0.463,0.393,0.00239878619443106,L5,JADE1
ABCF3.1,7.26162006251806e-08,0.364153855497315,0.224,0.161,0.00240991385014787,L5,ABCF3
LOC105370359,7.3775759448349e-08,14.1030487946847,0.143,0.092,0.00244839612881236,L5,LOC105370359
ATP6V1E1,7.39921526850571e-08,0.640736250474208,0.407,0.334,0.00245557757115899,L5,ATP6V1E1
TFDP2,7.47529371597114e-08,24.4058241871274,0.832,0.854,0.00248082572551934,L5,TFDP2
HERC1.1,7.50772635963095e-08,27.2990080058237,0.978,0.97,0.00249158914697072,L5,HERC1
ADAM11.1,7.51086320858591e-08,0.565534511912705,0.411,0.347,0.00249263017303341,L5,ADAM11
CALD1.1,7.5260587229079e-08,-5.27205651183982,0.301,0.376,0.00249767310837144,L5,CALD1
PAGR1,7.91351384002593e-08,-0.2960979665895,0.18,0.249,0.00262625783808941,L5,PAGR1
PRNP.1,8.00221254667126e-08,-6.79821908642005,0.865,0.868,0.00265569427786379,L5,PRNP
TAGLN3,8.01861692241716e-08,0.385353201337486,0.599,0.535,0.00266113839804258,L5,TAGLN3
PHF14.1,8.04132843546761e-08,-1.08878319981181,0.936,0.943,0.00266867566787864,L5,PHF14
HSPA13.1,8.1647529905467e-08,-0.427670355224771,0.315,0.387,0.00270963657497273,L5,HSPA13
SLC25A27.1,8.41376047960093e-08,4.81059198778757,0.697,0.673,0.00279227469036516,L5,SLC25A27
FAM20B,8.54587627601405e-08,0.993406106875099,0.477,0.417,0.00283611995972078,L5,FAM20B
ABLIM2,8.57234635565529e-08,4.50866298668202,0.68,0.636,0.00284490458505132,L5,ABLIM2
SPIDR.1,8.58789121003121e-08,3.59662632616167,0.926,0.911,0.00285006345587306,L5,SPIDR
HIPK2.1,8.60397478703268e-08,-3.30007748385874,0.335,0.398,0.00285540111257254,L5,HIPK2
ZNF746,8.81519344608716e-08,0.319955033303445,0.265,0.199,0.00292549824895295,L5,ZNF746
C9orf41,8.84631514707044e-08,1.62980426742569,0.514,0.447,0.00293582660785827,L5,C9orf41
KIAA1107,8.87088517420421e-08,0.966994133636809,0.682,0.736,0.00294398066276315,L5,KIAA1107
TCEAL1,8.93728261895207e-08,0.440014802277216,0.372,0.296,0.00296601598275162,L5,TCEAL1
GABRB1,8.93812776186479e-08,-62.0756885476396,0.977,0.966,0.00296629646033007,L5,GABRB1
PDS5A,9.0065013603056e-08,8.41118909170577,0.851,0.821,0.00298898760644462,L5,PDS5A
CLDN12,9.12739467477804e-08,0.784835399184645,0.469,0.4,0.00302910847071859,L5,CLDN12
CDH20.1,9.24323981840086e-08,12.6533606688327,0.286,0.396,0.0030675539985327,L5,CDH20
MATR3.1,9.39864416230118e-08,7.1289856745317,0.905,0.879,0.00311912803814289,L5,MATR3
ACTN4,9.43323891649826e-08,0.363575157429036,0.392,0.315,0.00313060899921828,L5,ACTN4
GGNBP2,9.52222802553416e-08,2.72882432629548,0.58,0.512,0.00316014181483402,L5,GGNBP2
ITSN2,9.71999854058706e-08,3.24618391039178,0.796,0.76,0.00322577591566463,L5,ITSN2
